county, year, labforce, employed
20113,2000,15377,14934
20115,2000,6711,6512
20117,2000,5560,5365
20119,2000,2168,2111
20121,2000,15359,14864
20123,2000,3511,3417
20125,2000,16998,16131
20127,2000,3061,2953
20129,2000,1746,1698
20131,2000,5232,5084
20133,2000,8398,8033
20135,2000,1783,1740
20137,2000,2661,2581
20139,2000,8842,8455
20141,2000,2310,2250
20143,2000,3372,3272
20145,2000,3524,3427
20147,2000,3122,3037
20149,2000,9357,9060
20151,2000,5063,4929
20153,2000,1468,1427
20155,2000,32322,31134
20157,2000,2975,2890
20159,2000,5202,5014
20161,2000,30748,29874
20163,2000,2733,2645
20165,2000,1731,1673
20167,2000,3544,3404
20169,2000,29912,29031
20171,2000,2988,2924
20173,2000,238296,228780
20175,2000,10385,10085
20177,2000,91500,87979
20179,2000,1488,1457
20181,2000,3620,3522
20183,2000,2175,2116
20185,2000,2286,2215
20187,2000,1266,1236
20189,2000,2463,2394
20191,2000,12868,12290
20193,2000,4257,4156
20195,2000,1666,1625
20197,2000,3739,3619
20199,2000,931,911
20201,2000,3348,3234
20203,2000,1254,1219
20205,2000,4996,4804
20207,2000,1702,1621
20209,2000,74318,69878
21001,2000,8239,7825
21003,2000,8517,8144
21005,2000,10242,9892
21007,2000,4240,3988
21009,2000,19423,18529
21011,2000,4970,4665
21013,2000,9945,9295
21015,2000,49328,47873
21017,2000,10038,9707
21019,2000,21564,20320
21021,2000,13583,13045
21023,2000,4208,4061
21025,2000,5423,5060
21027,2000,8705,8290
21029,2000,33653,32564
21031,2000,6638,6369
21033,2000,6234,5958
21035,2000,17382,16701
21037,2000,46821,45291
21039,2000,2420,2273
21041,2000,4995,4780
21043,2000,11797,10950
21045,2000,6899,6583
21047,2000,26573,25307
21049,2000,17100,16469
21051,2000,7261,6783
21053,2000,4549,4321
21055,2000,4372,4092
21057,2000,3200,3019
21059,2000,47038,45066
21061,2000,5056,4806
21063,2000,2469,2250
21065,2000,6050,5761
21067,2000,150199,145815
21069,2000,6516,6212
21071,2000,13875,12919
21073,2000,25571,24714
21075,2000,3160,2994
21077,2000,3934,3779
21079,2000,7599,7334
21081,2000,11633,11188
21083,2000,17221,16368
21085,2000,11304,10724
21087,2000,5368,5122
21089,2000,15892,14969
21091,2000,4203,3996
21093,2000,43226,41368
21095,2000,10083,9252
21097,2000,9183,8858
21099,2000,7670,7309
21101,2000,22956,22152
21103,2000,7813,7565
21105,2000,2377,2266
21107,2000,21349,20205
21109,2000,5065,4779
21111,2000,364088,350740
21113,2000,20775,20164
21115,2000,9130,8607
21117,2000,83422,80744
21119,2000,5732,5314
21121,2000,11163,10525
21123,2000,6450,6166
21125,2000,24252,23241
21127,2000,5520,5139
21129,2000,2502,2355
21131,2000,3949,3718
21133,2000,8838,8149
21135,2000,5633,5151
21137,2000,10874,10431
21139,2000,4950,4672
21141,2000,13321,12835
21143,2000,3167,2989
21145,2000,31776,30312
21147,2000,6093,5690
21149,2000,4783,4543
21151,2000,37585,36255
21153,2000,4468,4000
21155,2000,8628,8196
21157,2000,14821,14066
21159,2000,3464,3213
21161,2000,8337,8027
21163,2000,11781,11306
21165,2000,2614,2451
21167,2000,10744,10338
21169,2000,4620,4412
21171,2000,5421,4982
21173,2000,11266,10777
21175,2000,4898,4583
21177,2000,13152,12385
21179,2000,19731,18909
21181,2000,3280,3050
21183,2000,10618,10076
21185,2000,24177,23456
21187,2000,5019,4837
21189,2000,1532,1445
21191,2000,7199,6950
21193,2000,10033,9365
21195,2000,25018,23495
21197,2000,5836,5551
21199,2000,25802,24681
21201,2000,1098,1050
21203,2000,7184,6847
21205,2000,10829,10361
21207,2000,7466,7041
21209,2000,18430,17855
21211,2000,18420,17867
21213,2000,8510,8219
21215,2000,6559,6362
21217,2000,11240,10660
21219,2000,5778,5542
21221,2000,5977,5711
21223,2000,4105,3951
21225,2000,7447,7096
21227,2000,50447,48580
21229,2000,5247,5032
21231,2000,8207,7759
21233,2000,6805,6494
21235,2000,14347,13647
21237,2000,2531,2318
21239,2000,13479,13110
22001,2000,23944,22552
22003,2000,8737,8148
22005,2000,38466,36431
22007,2000,10014,9370
22009,2000,15738,14732
22011,2000,14032,13286
22013,2000,5946,5545
22015,2000,47153,44895
22017,2000,115086,109145
22019,2000,86596,82198
22021,2000,4357,4060
22023,2000,4544,4316
22025,2000,4151,3760
22027,2000,6498,6081
22029,2000,7776,7118
22031,2000,10813,10143
22033,2000,207375,197789
22035,2000,3111,2810
22037,2000,8287,7811
22039,2000,12156,11432
22041,2000,8220,7616
22043,2000,7918,7419
22045,2000,30531,28760
22047,2000,12638,11745
22049,2000,6718,6334
22051,2000,232236,221554
22053,2000,12807,12056
22055,2000,97491,93498
22057,2000,41142,39295
22059,2000,5903,5559
22061,2000,19104,18072
22063,2000,44859,42326
22065,2000,4978,4577
22067,2000,12489,11532
22069,2000,16622,15644
22071,2000,211299,199774
22073,2000,69948,66628
22075,2000,11041,10398
22077,2000,9766,9150
22079,2000,55791,52767
22081,2000,3555,3308
22083,2000,8687,8088
22085,2000,9313,8825
22087,2000,32271,30510
22089,2000,23964,22627
22091,2000,4064,3830
22093,2000,8864,8102
22095,2000,20065,18702
22097,2000,32791,30658
22099,2000,21381,20193
22101,2000,22530,20866
22103,2000,96612,92428
22105,2000,45252,42326
22107,2000,2484,2295
